id,COVIDCONTROL_01_RAW,COVIDCONTROL_02_RAW,COVIDCONTROL_03_RAW,COVIDCONTROL_04_RAW,COVIDCONTROL_05_RAW,COVIDCONTROL_06_RAW,COVIDCONTROL_07_RAW,COVIDCONTROL_08_RAW,COVIDCONTROL_09_RAW,COVIDCONTROL_10_RAW,COVIDCONTROL_11_RAW,COVIDCONTROL_12_RAW,COVIDCONTROL_13_RAW,COVIDCONTROL_01_DIR,COVIDCONTROL_02_DIR,COVIDCONTROL_03_DIR,COVIDCONTROL_04_DIR,COVIDCONTROL_05_DIR,COVIDCONTROL_06_DIR,COVIDCONTROL_07_DIR,COVIDCONTROL_08_DIR,COVIDCONTROL_09_DIR,COVIDCONTROL_10_DIR,COVIDCONTROL_11_DIR,COVIDCONTROL_12_DIR,COVIDCONTROL_13_DIR,COVIDCONTROL_RAW_NA,COVIDCONTROL_DIR_NA
0azsjnjv8h,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,"En mi trabajo, o en el colegio o jardín infantil donde asisten los niños que viven en mi casa",Alto riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Alto riesgo,Ni bajo ni alto riesgo,No lo sé / Prefiero no responder,Tengo el mismo trabajo,9,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,"En mi trabajo, o en el colegio o jardín infantil donde asisten los niños que viven en mi casa",Alto riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Alto riesgo,Ni bajo ni alto riesgo,No lo sé / Prefiero no responder,Tengo el mismo trabajo,9,0,0
0g4bzzufl5,Hijo/a(s),"Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.",Ni bueno ni malo,Dentro de mis conocidos,Alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Alto riesgo,Muy alto riesgo,Muy alto riesgo,Igual,Tengo el mismo trabajo,5,Hijo/a(s),"Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.",Ni bueno ni malo,Dentro de mis conocidos,Alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Alto riesgo,Muy alto riesgo,Muy alto riesgo,Igual,Tengo el mismo trabajo,5,0,0
0gp37ea8qk,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bueno,"En mi trabajo, o en el colegio o jardín infantil donde asisten los niños que viven en mi casa",Alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Igual,Tengo el mismo trabajo,4,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bueno,"En mi trabajo, o en el colegio o jardín infantil donde asisten los niños que viven en mi casa",Alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Igual,Tengo el mismo trabajo,4,0,0
0h5cls6t7u,Hermano/a(s)/otro familiar menor de 60 años,"Hago mis quehaceres de forma normal (trabajo, colegio, etc), y también voy a restaurantes, cines, etc",Muy malo,En mi país,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Bajo riesgo,Bajo riesgo,Muy bajo riesgo,Peor,No lo sé / Prefiero no responder,3,Hermano/a(s)/otro familiar menor de 60 años,"Hago mis quehaceres de forma normal (trabajo, colegio, etc), y también voy a restaurantes, cines, etc",Muy malo,En mi país,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Bajo riesgo,Bajo riesgo,Muy bajo riesgo,Peor,No lo sé / Prefiero no responder,3,0,0
0hmlz4cl4e,Mascota(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,En mi país,Ni bajo ni alto riesgo,Alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Bajo riesgo,Igual,No lo sé / Prefiero no responder,7,Mascota(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,En mi país,Ni bajo ni alto riesgo,Alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Bajo riesgo,Igual,No lo sé / Prefiero no responder,7,0,0
0lnc7qx6fp,Vivo solo(a),"Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.",Bastante bueno,Dentro de mi familia,Alto riesgo,Bajo riesgo,Muy bajo riesgo,Bajo riesgo,Bajo riesgo,Bajo riesgo,Mejor,Tengo el mismo trabajo,3,Vivo solo(a),"Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.",Bastante bueno,Dentro de mi familia,Alto riesgo,Bajo riesgo,Muy bajo riesgo,Bajo riesgo,Bajo riesgo,Bajo riesgo,Mejor,Tengo el mismo trabajo,3,0,0
0n2op4qlkl,Esposo(a)/Pareja,"Hago mis quehaceres de forma normal (trabajo, colegio, etc), y también voy a restaurantes, cines, etc",Bueno,En mi país,Alto riesgo,Bajo riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Mejor,Tengo el mismo trabajo,4,Esposo(a)/Pareja,"Hago mis quehaceres de forma normal (trabajo, colegio, etc), y también voy a restaurantes, cines, etc",Bueno,En mi país,Alto riesgo,Bajo riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Mejor,Tengo el mismo trabajo,4,0,0
0nde7p22d3,Personas mayores a 60 años,"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bastante bueno,En mi país,Alto riesgo,Muy alto riesgo,Muy bajo riesgo,Bajo riesgo,Alto riesgo,Alto riesgo,Igual,Tengo el mismo trabajo,4,Personas mayores a 60 años,"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bastante bueno,En mi país,Alto riesgo,Muy alto riesgo,Muy bajo riesgo,Bajo riesgo,Alto riesgo,Alto riesgo,Igual,Tengo el mismo trabajo,4,0,0
0o7nzb18js,Hijo/a(s),"Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc",Bastante bueno,En mi país,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Igual,Tengo el mismo trabajo,6,Hijo/a(s),"Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc",Bastante bueno,En mi país,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Igual,Tengo el mismo trabajo,6,0,0
0q858l7tbk,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,Dentro de mis conocidos,Muy alto riesgo,Muy alto riesgo,Muy alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Peor,Perdí mi trabajo de forma permanente,4,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,Dentro de mis conocidos,Muy alto riesgo,Muy alto riesgo,Muy alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Peor,Perdí mi trabajo de forma permanente,4,0,0
0rno3uzl0e,Esposo(a)/Pareja,"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bueno,Dentro de mi familia,Alto riesgo,Bajo riesgo,Bajo riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,4,Esposo(a)/Pareja,"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bueno,Dentro de mi familia,Alto riesgo,Bajo riesgo,Bajo riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,4,0,0
0ugjce64oo,Esposo(a)/Pareja,"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bueno,En mi país,Ni bajo ni alto riesgo,Bajo riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Peor,Tengo el mismo trabajo,3,Esposo(a)/Pareja,"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bueno,En mi país,Ni bajo ni alto riesgo,Bajo riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Peor,Tengo el mismo trabajo,3,0,0
0umgeoryw9,Esposo(a)/Pareja,"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bastante bueno,En mi provincia o región,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Mejor,Tengo el mismo trabajo,8,Esposo(a)/Pareja,"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bastante bueno,En mi provincia o región,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Mejor,Tengo el mismo trabajo,8,0,0
0vaavp49xk,Esposo(a)/Pareja,"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,Dentro de mi familia,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Alto riesgo,Igual,Tengo el mismo trabajo,1,Esposo(a)/Pareja,"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,Dentro de mi familia,Muy bajo riesgo,Muy bajo riesgo,Muy bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Alto riesgo,Igual,Tengo el mismo trabajo,1,0,0
0w6ssflgwx,Esposo(a)/Pareja,Estoy en cuarentena/distanciamiento social obligatorio (decretado por el Gobierno y/o el sistema público de salud),Bastante bueno,Dentro de mis conocidos,Alto riesgo,Bajo riesgo,Bajo riesgo,Alto riesgo,Alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,4,Esposo(a)/Pareja,Estoy en cuarentena/distanciamiento social obligatorio (decretado por el Gobierno y/o el sistema público de salud),Bastante bueno,Dentro de mis conocidos,Alto riesgo,Bajo riesgo,Bajo riesgo,Alto riesgo,Alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,4,0,0
0xzmpra3r8,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bueno,En mi país,Alto riesgo,Bajo riesgo,Muy bajo riesgo,Alto riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Peor,Tengo el mismo trabajo,7,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bueno,En mi país,Alto riesgo,Bajo riesgo,Muy bajo riesgo,Alto riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Peor,Tengo el mismo trabajo,7,0,0
0y5a1124sk,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,En mi país,Muy bajo riesgo,Bajo riesgo,Bajo riesgo,Alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,5,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,En mi país,Muy bajo riesgo,Bajo riesgo,Bajo riesgo,Alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,5,0,0
10tuv9y1t0,Esposo(a)/Pareja,"Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc",Bueno,Dentro de mis conocidos,Muy alto riesgo,Alto riesgo,Ni bajo ni alto riesgo,Alto riesgo,Muy alto riesgo,Alto riesgo,Mejor,Tengo el mismo trabajo,3,Esposo(a)/Pareja,"Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc",Bueno,Dentro de mis conocidos,Muy alto riesgo,Alto riesgo,Ni bajo ni alto riesgo,Alto riesgo,Muy alto riesgo,Alto riesgo,Mejor,Tengo el mismo trabajo,3,0,0
12coelxoyj,Vivo solo(a),"Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.",Bastante bueno,En mi país,Muy alto riesgo,Bajo riesgo,Bajo riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,3,Vivo solo(a),"Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.",Bastante bueno,En mi país,Muy alto riesgo,Bajo riesgo,Bajo riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,3,0,0
14385229586,Hijo/a(s),Estoy en cuarentena/distanciamiento social obligatorio (decretado por el Gobierno y/o el sistema público de salud),Bueno,En mi provincia o región,Ni bajo ni alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Igual,Tengo el mismo trabajo,4,Hijo/a(s),Estoy en cuarentena/distanciamiento social obligatorio (decretado por el Gobierno y/o el sistema público de salud),Bueno,En mi provincia o región,Ni bajo ni alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Alto riesgo,Igual,Tengo el mismo trabajo,4,0,0
1524o39vgp,Hijo/a(s),Estoy en cuarentena/distanciamiento social obligatorio (decretado por el Gobierno y/o el sistema público de salud),Bueno,Dentro de mi familia,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,6,Hijo/a(s),Estoy en cuarentena/distanciamiento social obligatorio (decretado por el Gobierno y/o el sistema público de salud),Bueno,Dentro de mi familia,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,6,0,0
17ugds2jor,Hermano/a(s)/otro familiar menor de 60 años,"Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.",Bueno,"En mi trabajo, o en el colegio o jardín infantil donde asisten los niños que viven en mi casa",Bajo riesgo,Bajo riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Peor,Tengo el mismo trabajo,3,Hermano/a(s)/otro familiar menor de 60 años,"Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.",Bueno,"En mi trabajo, o en el colegio o jardín infantil donde asisten los niños que viven en mi casa",Bajo riesgo,Bajo riesgo,Bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Peor,Tengo el mismo trabajo,3,0,0
1dzba3pc63,Hijo/a(s),"Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc",Bueno,En mi ciudad,Ni bajo ni alto riesgo,Bajo riesgo,Bajo riesgo,Bajo riesgo,Bajo riesgo,Muy bajo riesgo,Mejor,Tengo el mismo trabajo,6,Hijo/a(s),"Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc",Bueno,En mi ciudad,Ni bajo ni alto riesgo,Bajo riesgo,Bajo riesgo,Bajo riesgo,Bajo riesgo,Muy bajo riesgo,Mejor,Tengo el mismo trabajo,6,0,0
1ga2040svz,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bastante bueno,Dentro de mi familia,Bajo riesgo,Bajo riesgo,Muy bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,4,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Bastante bueno,Dentro de mi familia,Bajo riesgo,Bajo riesgo,Muy bajo riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Ni bajo ni alto riesgo,Igual,Tengo el mismo trabajo,4,0,0
1gcex58vx8,Hermano/a(s)/otro familiar menor de 60 años,"Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.",Ni bueno ni malo,En mi país,Alto riesgo,Bajo riesgo,Muy bajo riesgo,Alto riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Peor,"Perdí mi trabajo de forma permanente, pero obtuve otro",3,Hermano/a(s)/otro familiar menor de 60 años,"Mi trabajo requiere que me traslade a otros sitios (médicos, delivery, transporte público, etc), mientras otros deben quedarse en casa de forma obligaroria/voluntaria.",Ni bueno ni malo,En mi país,Alto riesgo,Bajo riesgo,Muy bajo riesgo,Alto riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Peor,"Perdí mi trabajo de forma permanente, pero obtuve otro",3,0,0
1hhe7yntyv,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,Dentro de mi familia,Ni bajo ni alto riesgo,Bajo riesgo,Muy bajo riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Muy bajo riesgo,Peor,Perdí mi trabajo de forma permanente,3,Hijo/a(s),"Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo",Ni bueno ni malo,Dentro de mi familia,Ni bajo ni alto riesgo,Bajo riesgo,Muy bajo riesgo,Ni bajo ni alto riesgo,Bajo riesgo,Muy bajo riesgo,Peor,Perdí mi trabajo de forma permanente,3,0,0
