id,DEMOGR3_01_RAW,DEMOGR3_02_RAW,DEMOGR3_03_RAW,DEMOGR3_04_RAW,DEMOGR3_05_RAW,DEMOGR3_06_RAW,DEMOGR3_07_RAW,DEMOGR3_08_RAW,DEMOGR3_01_DIR,DEMOGR3_02_DIR,DEMOGR3_03_DIR,DEMOGR3_04_DIR,DEMOGR3_05_DIR,DEMOGR3_06_DIR,DEMOGR3_07_DIR,DEMOGR3_08_DIR,DEMOGR3_RAW_NA,DEMOGR3_DIR_NA
0lnc7qx6fp,32,Hombre,Sí,Sí,Universitaria completa.,Sí,No,No,32,1,1,1,6,1,0,0,0,0
0n2op4qlkl,35,Mujer,No,No,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,35,0,0,0,7,1,0,0,0,0
0nde7p22d3,24,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,24,1,1,1,5,0,0,0,0,0
0o7nzb18js,37,Hombre,Sí,Sí,Universitaria completa.,No,No,No,37,1,1,1,6,0,0,0,0,0
0q858l7tbk,46,Mujer,Sí,Sí,Universitaria completa.,Sí,Sí,No,46,0,1,1,6,1,1,0,0,0
0rno3uzl0e,29,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,29,0,1,1,6,1,0,0,0,0
0ruvm5180t,41,Mujer,Sí,Sí,Universitaria completa.,No,No,No,41,0,1,1,6,0,0,0,0,0
0ugjce64oo,36,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,36,0,1,1,6,1,0,0,0,0
0umgeoryw9,30,Hombre,Sí,Sí,Universitaria completa.,No,No,No,30,1,1,1,6,0,0,0,0,0
0vaavp49xk,34,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,34,0,1,1,6,1,0,0,0,0
0w6ssflgwx,33,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,33,0,1,1,5,0,0,0,0,0
0xzmpra3r8,47,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,47,0,1,1,7,0,0,0,0,0
0y5a1124sk,38,Hombre,Sí,No,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,38,1,1,0,7,1,0,0,0,0
10tuv9y1t0,31,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,31,1,1,1,7,1,0,0,0,0
12coelxoyj,38,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,38,0,1,1,7,0,0,0,0,0
14385229586,54,Hombre,Sí,No,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,54,1,1,0,7,1,0,0,1,1
1524o39vgp,53,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,53,1,1,1,5,0,0,0,0,0
17ugds2jor,24,Mujer,No,No,Universitaria completa.,No,No,No,24,0,0,0,6,0,0,0,0,0
1a78vulqe1,40,Mujer,Sí,Sí,Universitaria completa.,No,No,No,40,0,1,1,6,0,0,0,0,0
1dzba3pc63,46,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,46,1,1,1,5,0,0,0,0,0
1ga2040svz,45,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,45,0,1,1,6,1,0,0,0,0
1gcex58vx8,20,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,20,1,1,1,5,1,0,0,0,0
1hhe7yntyv,34,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,34,0,1,1,6,1,0,0,0,0
1hlrbn3y6q,43,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,43,0,1,1,6,1,0,0,0,0
1kjpr4ot26,32,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,32,0,1,1,7,1,0,0,0,0
1m9z8gvdsh,19,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,19,0,1,1,5,0,0,0,0,0
1n2lmcj5gy,39,Hombre,Sí,Sí,Universitaria completa.,No,No,No,39,1,1,1,6,0,0,0,0,0
1oyezntv2a,45,Mujer,Sí,Sí,Universitaria completa.,No,No,No,45,0,1,1,6,0,0,0,0,0
1qbzp3w53m,23,Mujer,No,No,Universitaria incompleta / Técnica completa,Sí,No,No,23,0,0,0,5,1,0,0,0,0
1sqqbqv2x2,37,Mujer,Sí,No,Media completa / Técnica incompleta.,No,No,No,37,0,1,0,4,0,0,0,0,0
1x4vwsfod5,41,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,41,0,1,1,7,0,0,0,0,0
1x9db0w61z,37,Hombre,Sí,Sí,Universitaria completa.,No,No,No,37,1,1,1,6,0,0,0,0,0
1xk2lhu5l7,30,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,30,0,1,1,6,1,0,0,0,0
1xve144yu5,41,Mujer,Sí,Sí,Universitaria completa.,No,No,No,41,0,1,1,6,0,0,0,0,0
1xwvchz9vj,50,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,50,0,1,1,6,1,0,0,0,0
1ymttk9xtv,34,Mujer,Sí,Sí,Universitaria completa.,No,No,No,34,0,1,1,6,0,0,0,0,0
1z6o9xoot7,36,Mujer,Sí,Sí,Universitaria completa.,No,No,No,36,0,1,1,6,0,0,0,0,0
208042777,19,Mujer,Sí,Sí,Media completa / Técnica incompleta.,No,No,No,19,0,1,1,4,0,0,0,1,1
20gnbzdlkj,41,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,41,1,1,1,7,0,0,0,0,0
211j73oyq4,30,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,30,0,1,1,7,0,0,0,0,0
2154snqwnc,45,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,45,0,1,1,6,1,0,0,0,0
21zcr2l3us,23,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,23,0,1,1,5,1,0,0,0,0
23o56gkxtv,52,Mujer,Sí,Sí,Universitaria completa.,No,No,No,52,0,1,1,6,0,0,0,0,0
23w4opw8wn,42,Hombre,Sí,Sí,Universitaria completa.,No,No,No,42,1,1,1,6,0,0,0,0,0
245wqhvg9s,37,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,37,0,1,1,5,0,0,0,0,0
25d311c8ky,19,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,19,0,1,1,5,0,0,0,0,0
260jvokmkh,32,Mujer,Sí,Sí,Universitaria completa.,Sí,Sí,Sí,32,0,1,1,6,1,1,1,0,0
26cy56uw3d,27,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,27,0,1,1,6,1,0,0,0,0
2eto4r98g4,40,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,40,0,1,1,7,1,0,0,0,0
2fxz3pvysy,46,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,Sí,No,46,1,1,1,7,0,1,0,0,0
2g9ogyfagr,29,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,29,1,1,1,5,0,0,0,0,0
2hs4zdhc8p,51,Mujer,No,No,Universitaria incompleta / Técnica completa,No,No,No,51,0,0,0,5,0,0,0,0,0
2jys5okyrz,24,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,24,0,1,1,5,0,0,0,0,0
2k36w1k6s3,22,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,22,0,1,1,5,0,0,0,0,0
2om9hekosj,25,Mujer,Sí,Sí,Universitaria completa.,No,No,No,25,0,1,1,6,0,0,0,0,0
2p60yjvv8j,67,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,67,0,1,1,5,0,0,0,0,0
2pg66yvsel,41,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,41,1,1,1,7,0,0,0,0,0
2pj6mky775,29,Mujer,Sí,Sí,Universitaria completa.,No,No,No,29,0,1,1,6,0,0,0,0,0
2q3h5sbkcc,24,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,24,0,1,1,5,1,0,0,0,0
2r20dyckko,39,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,39,0,1,1,7,0,0,0,0,0
2tl9vpsf1f,27,Mujer,Sí,Sí,Universitaria completa.,No,No,No,27,0,1,1,6,0,0,0,0,0
2v8odmsrgb,22,Mujer,No,No,Universitaria incompleta / Técnica completa,Sí,No,No,22,0,0,0,5,1,0,0,0,0
2xkyenrbzh,56,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,56,0,1,1,5,0,0,0,0,0
2ys72zmj4e,44,Mujer,No,No,Universitaria completa.,No,No,No,44,0,0,0,6,0,0,0,0,0
2yz2onhcze,21,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,21,0,1,1,5,1,0,0,0,0
30627573,20,Mujer,Sí,Sí,Media completa / Técnica incompleta.,No,No,No,20,0,1,1,4,0,0,0,1,1
307hpm5xa5,43,Mujer,No,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,43,0,0,1,7,0,0,0,0,0
307j2gmw04,18,Mujer,Sí,Sí,Media completa / Técnica incompleta.,No,No,No,18,0,1,1,4,0,0,0,0,0
31ow2qxub2,33,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,33,0,1,1,7,0,0,0,0,0
3212721014,21,Mujer,No,Sí,Universitaria incompleta / Técnica completa,No,No,No,21,0,0,1,5,0,0,0,1,1
32bxso8dzs,24,Mujer,Sí,Sí,Universitaria completa.,No,No,No,24,0,1,1,6,0,0,0,0,0
32v4soy9sj,31,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,31,0,1,1,5,1,0,0,0,0
33tnugm0g9,38,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,38,0,1,1,7,0,0,0,0,0
35j26vl9w3,37,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,37,1,1,1,7,0,0,0,0,0
370azd2fr3,23,Mujer,Sí,Sí,Universitaria completa.,No,No,No,23,0,1,1,6,0,0,0,0,0
37vwcgwxjl,48,Mujer,Sí,Sí,Universitaria completa.,No,No,No,48,0,1,1,6,0,0,0,0,0
38w2v9pbqb,41,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,41,0,1,1,6,1,0,0,0,0
38yy9vh34o,52,Hombre,Sí,Sí,Universitaria completa.,No,No,No,52,1,1,1,6,0,0,0,0,0
39k1lsmzo9,36,Mujer,Sí,Sí,Universitaria completa.,No,No,No,36,0,1,1,6,0,0,0,0,0
3bqax9x6pp,19,Mujer,Sí,Sí,Media completa / Técnica incompleta.,Sí,No,No,19,0,1,1,4,1,0,0,0,0
3dwxo4ek8z,39,Hombre,Sí,Sí,Universitaria completa.,No,No,No,39,1,1,1,6,0,0,0,0,0
3eslm14chc,26,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,26,0,1,1,5,1,0,0,0,0
3fq6nf6bwz,32,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,32,0,1,1,6,1,0,0,0,0
3g07zjcf8w,29,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,29,0,1,1,7,0,0,0,0,0
3mmj9860tp,19,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,19,1,1,1,5,1,0,0,0,0
3oos01o77d,32,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,32,0,1,1,7,0,0,0,0,0
3q4xlbxfqm,51,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,51,0,1,1,7,1,0,0,0,0
3uuhjuhvx7,27,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,27,0,1,1,5,1,0,0,0,0
3va8adj854,33,Mujer,No,No,Universitaria incompleta / Técnica completa,Sí,No,No,33,0,0,0,5,1,0,0,0,0
3wctuj3c5l,26,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,26,0,1,1,7,1,0,0,0,0
3zdt3bh6qx,32,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,32,0,1,1,7,1,0,0,0,0
42rtgjv3d5,35,Mujer,Sí,Sí,Universitaria completa.,No,No,No,35,0,1,1,6,0,0,0,0,0
43bvgxa85z,36,Hombre,Sí,Sí,Universitaria completa.,No,No,No,36,1,1,1,6,0,0,0,0,0
440dgr2s32,26,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,26,0,1,1,7,0,0,0,0,0
46lzkwh057,19,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,19,0,1,1,5,0,0,0,0,0
48d0zwqrrz,42,Hombre,Sí,Sí,Universitaria completa.,No,No,No,42,1,1,1,6,0,0,0,0,0
48wpp82aok,24,Mujer,Sí,Sí,Universitaria completa.,No,No,No,24,0,1,1,6,0,0,0,0,0
49t8wtq8vq,43,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,43,0,1,1,7,0,0,0,0,0
4bbc9tyubj,21,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,21,1,1,1,5,1,0,0,0,0
4co0gk5xv1,44,Mujer,Sí,Sí,Universitaria completa.,No,No,No,44,0,1,1,6,0,0,0,0,0
4erkm6ghx5,40,Mujer,No,No,Universitaria completa.,No,No,No,40,0,0,0,6,0,0,0,0,0
4ffwfstz9n,43,Mujer,No,Sí,Universitaria incompleta / Técnica completa,Sí,Sí,No,43,0,0,1,5,1,1,0,0,0
4o8jzv6j6e,34,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,34,0,1,1,7,0,0,0,0,0
4o8k81tjnm,37,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,37,0,1,1,7,0,0,0,0,0
4qqpa1z4ok,28,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,28,0,1,1,6,1,0,0,0,0
4tangf5m2x,38,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,38,1,1,1,7,1,0,0,0,0
4vc2mzdc4w,28,Mujer,Sí,Sí,Universitaria completa.,No,No,No,28,0,1,1,6,0,0,0,0,0
4y80ydll2f,42,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,42,0,1,1,7,0,0,0,0,0
4ygdug14fo,35,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,35,0,1,1,5,1,0,0,0,0
51hljkccpr,38,Hombre,Sí,No,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,38,1,1,0,7,1,0,0,0,0
52sdo4ywuc,37,Hombre,Sí,Sí,Universitaria completa.,No,No,No,37,1,1,1,6,0,0,0,0,0
52xf1jf34a,36,Mujer,No,No,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,36,0,0,0,7,1,0,0,0,0
53hu4vj55h,32,Hombre,Sí,Sí,Universitaria completa.,No,No,No,32,1,1,1,6,0,0,0,0,0
5522565184,43,Hombre,No,No,"Postgrado (Master, Doctor o equivalente).",No,No,No,43,1,0,0,7,0,0,0,1,1
55chz3kw8e,37,Mujer,Sí,Sí,Universitaria completa.,No,No,No,37,0,1,1,6,0,0,0,0,0
566zwesa4u,27,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,27,1,1,1,7,0,0,0,0,0
56v5wy3mg5,45,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,45,1,1,1,7,0,0,0,0,0
57sfa6s28l,31,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,31,0,1,1,7,0,0,0,0,0
58g65e3v8f,60,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,Sí,No,60,0,1,1,5,1,1,0,0,0
59623043,19,Mujer,Sí,Sí,Media completa / Técnica incompleta.,No,No,No,19,0,1,1,4,0,0,0,1,1
59u2aq01p4,35,Mujer,No,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,35,0,0,1,7,0,0,0,0,0
5dq4cq8cb9,46,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,46,0,1,1,5,0,0,0,0,0
5gxf48qa2o,43,Hombre,Sí,Sí,Universitaria completa.,No,No,No,43,1,1,1,6,0,0,0,0,0
5lhjf3f5pf,22,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,22,0,1,1,5,0,0,0,0,0
5mdboqub11,33,Hombre,Sí,Sí,Universitaria completa.,Sí,No,No,33,1,1,1,6,1,0,0,0,0
5mmjpwp6p4,31,Mujer,Sí,No,"Postgrado (Master, Doctor o equivalente).",No,No,No,31,0,1,0,7,0,0,0,0,0
5pxewmyh54,20,Mujer,Sí,Sí,Media completa / Técnica incompleta.,No,No,No,20,0,1,1,4,0,0,0,0,0
5qu3gam1mn,36,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,36,0,1,1,7,0,0,0,0,0
5rxe1wy6bk,19,Mujer,Sí,Sí,Media completa / Técnica incompleta.,No,No,No,19,0,1,1,4,0,0,0,0,0
5s4c08b3ze,42,Mujer,Sí,Sí,Universitaria completa.,Sí,Sí,No,42,0,1,1,6,1,1,0,0,0
5s9fd2uwmb,33,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,33,1,1,1,7,0,0,0,0,0
5sul0uzgnz,27,Mujer,Sí,Sí,Universitaria completa.,No,No,No,27,0,1,1,6,0,0,0,0,0
5te70nks2d,20,Hombre,No,Sí,Universitaria incompleta / Técnica completa,No,No,No,20,1,0,1,5,0,0,0,0,0
5waf6pr99j,29,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,29,0,1,1,7,1,0,0,0,0
5ysz1t80sp,22,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,22,0,1,1,5,0,0,0,0,0
5zm1mtttk6,31,Mujer,No,No,"Postgrado (Master, Doctor o equivalente).",No,No,No,31,0,0,0,7,0,0,0,0,0
5zqneztnb5,31,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,31,1,1,1,7,0,0,0,0,0
613aatfzyq,38,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,38,1,1,1,7,0,0,0,0,0
649wwbc46k,31,Mujer,Sí,Sí,Universitaria completa.,No,No,No,31,0,1,1,6,0,0,0,0,0
650415rgao,39,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,39,1,1,1,7,0,0,0,0,0
65rmkpqenl,22,Mujer,Sí,Sí,Universitaria completa.,No,No,No,22,0,1,1,6,0,0,0,0,0
664pp6q41o,30,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,30,0,1,1,7,1,0,0,0,0
68041813,25,Mujer,Sí,Sí,Media completa / Técnica incompleta.,No,No,No,25,0,1,1,4,0,0,0,1,1
6bz6uag4dk,30,Mujer,Sí,Sí,Universitaria completa.,No,No,No,30,0,1,1,6,0,0,0,0,0
6ckerhy17c,45,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,45,1,1,1,5,0,0,0,0,0
6dn3lk6muo,21,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,21,0,1,1,5,1,0,0,0,0
6eaebmhr54,45,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,45,0,1,1,7,0,0,0,0,0
6eopr7l79z,31,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,31,0,1,1,5,0,0,0,0,0
6fds5u6mcv,25,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,25,0,1,1,6,1,0,0,0,0
6fgblhs912,50,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,50,0,1,1,5,1,0,0,0,0
6l3wnmfvn0,43,Hombre,Sí,Sí,Universitaria completa.,No,No,No,43,1,1,1,6,0,0,0,0,0
6mv37bdu85,40,Hombre,Sí,Sí,Media completa / Técnica incompleta.,No,No,No,40,1,1,1,4,0,0,0,0,0
6oqllls9nm,19,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,19,0,1,1,5,1,0,0,0,0
6pktko39ex,25,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,25,0,1,1,6,1,0,0,0,0
6q7xzvtd35,50,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,50,0,1,1,5,0,0,0,0,0
6swtupt5xr,24,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,24,0,1,1,6,1,0,0,0,0
6u38ojnsrq,40,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,40,0,1,1,7,0,0,0,0,0
6usbzwa17h,20,Mujer,No,No,Media completa / Técnica incompleta.,Sí,No,No,20,0,0,0,4,1,0,0,0,0
6yon59jyyh,31,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,31,0,1,1,5,0,0,0,0,0
6zdtz6b3wm,44,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,Sí,No,44,0,1,1,7,1,1,0,0,0
6zq4shfhao,56,Hombre,Sí,Sí,Media completa / Técnica incompleta.,No,No,No,56,1,1,1,4,0,0,0,0,0
71xg31qmpf,21,Mujer,Sí,Sí,Media completa / Técnica incompleta.,Sí,No,No,21,0,1,1,4,1,0,0,0,0
726m18mmnu,24,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,24,0,1,1,6,1,0,0,0,0
73516375,35,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,35,0,1,1,7,0,0,0,1,1
73nrnhlkpe,25,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,25,1,1,1,7,0,0,0,0,0
7523bteq4w,36,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,36,0,1,1,7,1,0,0,0,0
754nqmadud,46,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,46,0,1,1,6,1,0,0,0,0
75vr3y2we9,41,Hombre,Sí,Sí,Universitaria completa.,No,No,No,41,1,1,1,6,0,0,0,0,0
7chnd7jqpy,39,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,Sí,39,0,1,1,7,0,0,1,0,0
7eswr199y7,19,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,19,0,1,1,5,1,0,0,0,0
7lxvs7tjhy,25,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,25,0,1,1,7,1,0,0,0,0
7md4q0jsp3,25,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,25,0,1,1,7,0,0,0,0,0
7meuscuc92,27,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,27,1,1,1,7,0,0,0,0,0
7nq0yu29gg,29,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,Sí,No,No,29,0,1,1,5,1,0,0,0,0
7q5x5pm8cj,40,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,40,0,1,1,7,1,0,0,0,0
7q9r270w7b,28,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,28,1,1,1,7,0,0,0,0,0
7rwt3yrohk,45,Mujer,Sí,Sí,Universitaria completa.,No,No,No,45,0,1,1,6,0,0,0,0,0
7u7sa47h79,36,Mujer,Sí,Sí,Universitaria completa.,No,No,No,36,0,1,1,6,0,0,0,0,0
7xp8htlnlx,18,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,18,0,1,1,5,0,0,0,0,0
7xw0g7kx2n,36,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,36,0,1,1,7,1,0,0,0,0
7zqhmbexsk,44,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,44,1,1,1,5,0,0,0,0,0
81qcpq62fd,26,Mujer,Sí,Sí,Media completa / Técnica incompleta.,No,No,No,26,0,1,1,4,0,0,0,0,0
833fah8xk5,20,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,20,0,1,1,5,0,0,0,0,0
83acj2utfl,38,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,38,0,1,1,7,0,0,0,0,0
83dgzovsus,32,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,32,1,1,1,7,0,0,0,0,0
83ytp1f6wd,37,Mujer,Sí,Sí,Universitaria completa.,No,No,No,37,0,1,1,6,0,0,0,0,0
